target,rank,feature,importance
facility_delivery,1,v312,0.014842
facility_delivery,2,m14,0.013072
facility_delivery,3,m42e,0.007174
facility_delivery,4,v191,0.004709
facility_delivery,5,m2a,0.004498
facility_delivery,6,v130,0.004349
facility_delivery,7,b0,0.002616
facility_delivery,8,v024,0.002569
facility_delivery,9,v139,0.002096
facility_delivery,10,bmi,0.001436
facility_delivery,11,p20,0.001087
facility_delivery,12,v133,0.00106
facility_delivery,13,v159,0.001057
facility_delivery,14,v745b,0.000848
facility_delivery,15,v171a,0.000775
facility_delivery,16,height_cm,0.000756
facility_delivery,17,v613,0.000694
facility_delivery,18,v219,0.000652
facility_delivery,19,v704,0.000637
facility_delivery,20,p4,0.000617
neonatal_death,1,p20,0.117719
neonatal_death,2,risk_index,0.091392
neonatal_death,3,p4,0.01823
neonatal_death,4,b11,0.015295
neonatal_death,5,v136,0.012636
neonatal_death,6,v512,0.005102
neonatal_death,7,b4,0.004865
neonatal_death,8,v133,0.004047
neonatal_death,9,v715,0.003782
neonatal_death,10,v191,0.003602
neonatal_death,11,p0,0.00314
neonatal_death,12,bmi,0.002451
neonatal_death,13,v625a,0.002242
neonatal_death,14,weight_kg,0.002134
neonatal_death,15,v730,0.00181
neonatal_death,16,v613,0.001618
neonatal_death,17,v626a,0.001497
neonatal_death,18,v744a,0.001047
neonatal_death,19,v169a,0.001009
neonatal_death,20,v313,0.000998
stunted,1,height_cm,0.096841
stunted,2,b19,0.048766
stunted,3,weight_kg,0.007612
stunted,4,risk_index,0.006985
stunted,5,v191,0.004218
stunted,6,v116,0.002984
stunted,7,v122,0.00295
stunted,8,v312,0.00268
stunted,9,b0,0.002093
stunted,10,v107,0.001968
stunted,11,p0,0.001904
stunted,12,v190,0.00185
stunted,13,v024,0.001836
stunted,14,bmi,0.001783
stunted,15,b11,0.001495
stunted,16,v133,0.001493
stunted,17,v128,0.001425
stunted,18,v704,0.001363
stunted,19,v113,0.001333
stunted,20,v141,0.001211
severe_stunting,1,height_cm,0.060622
severe_stunting,2,b19,0.028323
severe_stunting,3,v191,0.011239
severe_stunting,4,weight_kg,0.011139
severe_stunting,5,b11,0.011128
severe_stunting,6,risk_index,0.00469
severe_stunting,7,v128,0.004645
severe_stunting,8,v704,0.004422
severe_stunting,9,v104,0.004123
severe_stunting,10,v743a,0.00409
severe_stunting,11,v238,0.002971
severe_stunting,12,v512,0.002886
severe_stunting,13,p20,0.002811
severe_stunting,14,v113,0.002745
severe_stunting,15,v161,0.002623
severe_stunting,16,v116,0.002568
severe_stunting,17,v467d,0.002425
severe_stunting,18,v123,0.002413
severe_stunting,19,v312,0.002272
severe_stunting,20,v702,0.0022
underweight_child,1,height_cm,0.050848
underweight_child,2,weight_kg,0.028841
underweight_child,3,b19,0.024569
underweight_child,4,bmi,0.007893
underweight_child,5,risk_index,0.007617
underweight_child,6,v191,0.005456
underweight_child,7,v024,0.005333
underweight_child,8,b0,0.004677
underweight_child,9,v122,0.004249
underweight_child,10,v128,0.002932
underweight_child,11,v169a,0.002797
underweight_child,12,v716,0.002123
underweight_child,13,v717,0.002007
underweight_child,14,v228,0.001949
underweight_child,15,b11,0.001911
underweight_child,16,v139,0.00183
underweight_child,17,v124,0.001775
underweight_child,18,v113,0.001745
underweight_child,19,b4,0.001642
underweight_child,20,v129,0.001553
